summoner name,game duration,win,champion,champion id,champion level,deaths,kills,assists,role,wards killed,wards placed,dragon kills,baron kills,damage dealt to objectives,damage dealt to turrets,turrets lost,turret kills,total minions killed,inhibitor takedowns,inhibitor kills
H3LLRA1SER,1373,0,Xayah,498,12,4,3,4,DUO,3,10,0,0,5326,2539,6,1,196,0,0
SLY BackSteeeL,1373,0,Rakan,497,10,3,1,9,SOLO,11,23,0,0,900,900,6,0,32,0,0
Ttv KoalachanLoL,1373,1,Gwen,887,16,3,9,3,NONE,3,6,0,0,14645,8956,1,3,200,0,0
MaxouTigrou,1373,1,Ivern,427,13,0,2,8,NONE,5,6,3,1,39257,1209,1,0,15,0,0
tlustejsmrad420,1373,1,Jayce,126,14,4,5,5,SOLO,1,8,0,0,2997,2997,1,0,176,0,0
star collection,1373,1,Zeri,221,14,3,8,2,CARRY,4,10,0,0,24107,5112,1,3,209,0,0
Chapter 4,1373,1,Soraka,16,10,6,0,7,SUPPORT,5,27,0,0,2189,797,1,0,13,0,0
SVengaLL,1660,0,Hecarim,120,14,8,7,3,NONE,2,3,0,0,12307,0,11,0,24,0,0
Calimerito,1660,0,Renekton,58,15,6,5,5,SOLO,1,10,0,0,1733,1561,11,0,199,0,0
Nomanz,1660,0,Cassiopeia,69,15,8,10,5,SOLO,2,10,0,0,3914,3459,11,1,157,0,0
Chapter 4,1660,0,Soraka,16,12,3,0,11,SUPPORT,10,22,0,0,1369,802,11,0,21,0,0
Asper3,1660,0,Ezreal,81,15,2,5,9,CARRY,1,11,0,0,4197,2511,11,2,209,0,0
SatØrius,1660,1,Ornn,516,16,1,6,8,SOLO,4,11,0,0,8916,4664,3,2,197,1,0
Clarence Kennedy,1660,1,Nidalee,76,15,1,10,8,NONE,6,10,1,0,45398,2572,3,3,35,1,1
G2 Yahaba,1660,1,Tristana,18,15,14,6,3,CARRY,0,6,0,1,17248,10546,3,4,176,1,0
S11DravenEnjoyer,1660,1,Nilah,895,15,5,3,7,SOLO,2,8,0,0,10706,4299,3,1,202,2,1
ShadowZerô,1660,1,Senna,235,14,6,2,17,SUPPORT,7,28,2,0,9125,3127,3,1,16,2,0
eYa Bewbiou,1399,1,Kennen,85,14,4,3,6,NONE,3,7,0,0,4741,4741,4,1,162,1,1
rakan xayah,1399,1,Hecarim,120,14,3,10,7,NONE,1,5,3,1,30985,532,4,0,26,0,0
eYa Beaupere,1399,1,Cassiopeia,69,16,3,9,7,SOLO,0,8,0,0,6811,6811,4,4,190,1,0
disconsumption,1399,1,Ashe,22,13,3,10,10,CARRY,3,8,0,0,27467,5377,4,3,173,0,0
Chapter 4,1399,1,Soraka,16,12,4,2,16,SUPPORT,8,22,0,0,2129,1823,4,0,27,0,0
tent is back,1399,0,Nidalee,76,12,6,5,4,NONE,4,1,0,0,16927,1586,8,0,25,0,0
DoubleAiM,1399,0,Renekton,58,14,4,2,5,SOLO,3,9,0,0,3511,3511,8,2,183,0,0
hate winning,1399,0,Tristana,18,14,6,7,3,SOLO,0,8,0,0,6205,4521,8,2,163,0,0
